worker_id,original_value,processed_value
1,66,4356
1,49,2401
1,26,676
1,16,256
1,99,9801
1,46,2116
1,100,10000
1,86,7396
1,27,729
1,84,7056
1,67,4489
1,44,1936
1,22,484
1,16,256
1,18,324
1,92,8464
1,27,729
1,55,3025
1,65,4225
1,88,7744
1,73,5329
1,22,484
1,59,3481
1,25,625
1,11,121
1,100,10000
1,23,529
1,62,3844
1,32,1024
1,77,5929
1,30,900
1,69,4761
1,65,4225
1,7,49
1,96,9216
1,78,6084
1,20,400
2,63,3969
1,63,3969
1,61,3721
2,19,361
1,47,2209
2,2,4
1,100,10000
2,67,4489
1,79,6241
2,30,900
1,38,1444
2,10,100
1,88,7744
2,60,3600
1,23,529
1,41,1681
2,90,8100
2,55,3025
1,59,3481
2,21,441
1,29,841
2,71,5041
1,78,6084
2,50,2500
1,39,1521
1,98,9604
2,92,8464
1,45,2025
2,41,1681
1,30,900
1,12,144
2,75,5625
1,87,7569
2,84,7056
1,2,4
2,50,2500
1,63,3969
1,58,3364
1,72,5184
2,20,400
2,37,1369
2,50,2500
1,76,5776
2,98,9604
2,48,2304
1,25,625
1,83,6889
1,21,441
2,11,121
2,90,8100
1,27,729
2,41,1681
1,7,49
1,78,6084
2,48,2304
2,99,9801
1,21,441
2,84,7056
1,60,3600
2,61,3721
1,36,1296
2,61,3721
1,81,6561
